Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Arthur the King,2024,7.577,855,19000000,40829138,618588,arthur the king,0,left_only,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Assassin's Creed,2016,5.429,7953,125000000,240700000,121856,assassin's creed,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Asterix & Obelix: The Middle Kingdom,2023,4.837,1119,72000000,46497678,643215,asterix & obelix: the middle kingdom,0,left_only,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Asteroid City,2023,6.441,2286,25000000,53857743,747188,asteroid city,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Atlas,2024,6.704,1454,100000000,0,614933,atlas,0,left_only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Atomic Blonde,2017,6.429,6448,30000000,100014025,341013,atomic blonde,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Ava,2020,5.828,2674,0,2987741,539885,ava,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Avatar: The Way of Water,2022,7.611,13044,350000000,2330224914,76600,avatar: the way of water,0,both,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Avengers: Age of Ultron,2015,7.271,23855,365000000,1405403694,99861,avengers: age of ultron,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Avengers: Endgame,2019,8.237,26930,356000000,2799439100,299534,avengers: endgame,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Avengers: Infinity War,2018,8.235,31141,300000000,2052415039,299536,avengers: infinity war,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Baby Driver,2017,7.445,16373,34000000,226945087,339403,baby driver,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Babygirl,2024,5.739,1001,20000000,60934894,1097549,babygirl,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Babylon,2022,7.373,3532,78000000,65267446,615777,babylon,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
